"","Name","Age","Nationality","Club","Overall","Potential","Values","Preferred.Foot","Height","Weight","Country"
"40","K. Navas",31,"Costa Rica","Real Madrid",87,87,30500000,"Right",185,80,"Spain"
"41","R. Lukaku",25,"Belgium","Manchester United",87,89,62500000,"Left",190,94,"UK"
"42","C. Immobile",28,"Italy","Lazio",87,87,5.2e+07,"Right",185,85,"Italy"
"43","Jordi Alba",29,"Spain","FC Barcelona",87,87,3.8e+07,"Left",170,68,"Spain"
"44","D. Mertens",31,"Belgium","Napoli",87,87,4.5e+07,"Right",170,61,"Italy"
"45","J. Vertonghen",31,"Belgium","Tottenham Hotspur",87,87,3.4e+07,"Left",188,86,"UK"
"46","M. Hamšík",30,"Slovakia","Napoli",87,87,46500000,"Right",183,79,"Italy"
"47","I. Rakitić",30,"Croatia","FC Barcelona",87,87,46500000,"Right",183,78,"Spain"
"48","Piqué",31,"Spain","FC Barcelona",87,87,3.4e+07,"Right",193,85,"Spain"
"49","L. Sané",22,"Germany","Manchester City",86,92,6.1e+07,"Left",183,75,"UK"
"50","Bernardo Silva",23,"Portugal","Manchester City",86,91,59500000,"Left",173,64,"UK"
"51","Ederson",24,"Brazil","Manchester City",86,90,41500000,"Left",188,86,"UK"
"52","S. Mané",26,"Senegal","Liverpool",86,87,5.2e+07,"Right",175,69,"UK"
"53","V. van Dijk",26,"Netherlands","Liverpool",86,88,44500000,"Right",193,92,"UK"
"54","R. Sterling",23,"England","Manchester City",86,89,56500000,"Right",170,69,"UK"
"55","Roberto Firmino",26,"Brazil","Liverpool",86,87,5.3e+07,"Right",180,76,"UK"
"56","R. Varane",25,"France","Real Madrid",86,91,5e+07,"Right",190,81,"Spain"
"57","M. Verratti",25,"Italy","Paris Saint-Germain",86,89,5.5e+07,"Right",165,60,"France"
"58","Alex Sandro",27,"Brazil","Juventus",86,86,36500000,"Left",180,80,"Italy"
"59","Douglas Costa",27,"Brazil","Juventus",86,86,46500000,"Left",173,70,"Italy"
"60","M. Reus",29,"Germany","Borussia Dortmund",86,86,43500000,"Right",180,71,"Germany"
"61","Azpilicueta",28,"Spain","Chelsea",86,86,3.5e+07,"Right",178,76,"UK"
"62","L. Bonucci",31,"Italy","Juventus",86,86,3e+07,"Right",190,85,"Italy"
"63","T. Alderweireld",29,"Belgium","Tottenham Hotspur",86,87,3.9e+07,"Right",185,81,"UK"
"64","M. Pjanić",28,"Bosnia Herzegovina","Juventus",86,86,4.4e+07,"Right",178,72,"Italy"
"65","M. Benatia",31,"Morocco","Juventus",86,86,3e+07,"Right",188,94,"Italy"
"66","M. Özil",29,"Germany","Arsenal",86,86,43500000,"Left",180,76,"UK"
"67","Fernandinho",33,"Brazil","Manchester City",86,86,1.8e+07,"Right",178,67,"UK"
"68","M. Škriniar",23,"Slovakia","Inter",85,92,46500000,"Right",188,80,"Italy"
"69","S. Milinković-Savić",23,"Serbia","Lazio",85,90,50500000,"Right",190,76,"Italy"
"70","Marco Asensio",22,"Spain","Real Madrid",85,92,5.4e+07,"Left",183,76,"Spain"
"71","N. Fekir",24,"France","Olympique Lyonnais",85,89,5e+07,"Left",173,75,"France"
"72","Alisson",25,"Brazil","Liverpool",85,90,36500000,"Right",190,91,"UK"
"73","R. Mahrez",27,"Algeria","Manchester City",85,85,40500000,"Left",178,67,"UK"
"74","A. Lacazette",27,"France","Arsenal",85,86,4.5e+07,"Right",175,73,"UK"
"75","K. Manolas",27,"Greece","Roma",85,87,37500000,"Right",188,83,"Italy"
"76","N. Otamendi",30,"Argentina","Manchester City",85,85,28500000,"Right",183,81,"UK"
"77","Parejo",29,"Spain","Valencia CF",85,85,3.7e+07,"Right",183,74,"Spain"
"78","W. Szczęsny",28,"Poland","Juventus",85,87,3.2e+07,"Right",196,90,"Italy"
"79","A. Sánchez",29,"Chile","Manchester United",85,85,37500000,"Right",170,74,"UK"
"80","Y. Brahimi",28,"Algeria","FC Porto",85,85,3.9e+07,"Right",175,66,"Portugal"
"81","A. Vidal",31,"Chile","FC Barcelona",85,85,2.6e+07,"Right",180,75,"Spain"
"82","I. Perišić",29,"Croatia","Inter",85,85,37500000,"Right",185,80,"Italy"
"83","E. Džeko",32,"Bosnia Herzegovina","Roma",85,85,30500000,"Right",193,84,"Italy"
"84","S. Khedira",31,"Germany","Juventus",85,85,3.3e+07,"Right",188,90,"Italy"
"85","R. Nainggolan",30,"Belgium","Inter",85,85,35500000,"Right",175,77,"Italy"
"86","Naldo",35,"Brazil","FC Schalke 04",85,85,9e+06,"Right",198,91,"Germany"
"87","B. Matuidi",31,"France","Juventus",85,85,2.6e+07,"Left",180,75,"Italy"
"88","Miranda",33,"Brazil","Inter",85,85,15500000,"Right",185,78,"Italy"
"89","K. Benzema",30,"France","Real Madrid",85,85,3.7e+07,"Right",185,81,"Spain"
"90","V. Kompany",32,"Belgium","Manchester City",85,85,2.2e+07,"Right",190,85,"UK"
"91","D. Sánchez",22,"Colombia","Tottenham Hotspur",84,88,3.4e+07,"Right",188,79,"UK"
"92","Alex Telles",25,"Brazil","FC Porto",84,87,3.2e+07,"Left",180,71,"Portugal"
"93","A. Laporte",24,"France","Manchester City",84,88,3.4e+07,"Left",188,85,"UK"
"94","Bruno Fernandes",23,"Portugal","Sporting CP",84,88,40500000,"Right",178,69,"Portugal"
"95","A. Martial",22,"France","Manchester United",84,90,42500000,"Right",183,76,"UK"
"96","D. Alli",22,"England","Tottenham Hotspur",84,90,42500000,"Right",188,80,"UK"
"97","Fabinho",24,"Brazil","Liverpool",84,88,3.4e+07,"Right",188,78,"UK"
"98","Marquinhos",24,"Brazil","Paris Saint-Germain",84,89,35500000,"Right",183,75,"France"
"99","William Carvalho",26,"Portugal","Real Betis",84,86,31500000,"Right",188,83,"Spain"
"100","Jorginho",26,"Italy","Chelsea",84,87,3.8e+07,"Right",180,67,"UK"
"101","F. Thauvin",25,"France","Olympique de Marseille",84,87,3.9e+07,"Left",178,70,"France"
"102","Carvajal",26,"Spain","Real Madrid",84,87,31500000,"Right",173,73,"Spain"
"103","M. Depay",24,"Netherlands","Olympique Lyonnais",84,89,4.2e+07,"Right",175,78,"France"
"104","H. Son",25,"Korea Republic","Tottenham Hotspur",84,85,3.7e+07,"Right",183,65,"UK"
"105","A. Lopes",27,"Portugal","Olympique Lyonnais",84,86,2.5e+07,"Left",183,81,"France"
"106","S. de Vrij",26,"Netherlands","Inter",84,86,31500000,"Right",188,78,"Italy"
"107","M. Perin",25,"Italy","Juventus",84,89,29500000,"Right",188,77,"Italy"
"108","J. Cuadrado",30,"Colombia","Juventus",84,84,29500000,"Right",178,72,"Italy"
"109","Iago Aspas",30,"Spain","RC Celta",84,84,3e+07,"Left",175,67,"Spain"
"110","B. Leno",26,"Germany","Arsenal",84,87,2.7e+07,"Right",190,83,"UK"
"111","N. Matić",29,"Serbia","Manchester United",84,84,2.4e+07,"Left",193,85,"UK"
"112","L. Hrádecký",28,"Finland","Bayer 04 Leverkusen",84,84,2.2e+07,"Right",193,85,"Germany"
"113","Illarramendi",28,"Spain","Real Sociedad",84,84,3.1e+07,"Right",178,75,"Spain"
"114","K. Walker",28,"England","Manchester City",84,84,24500000,"Right",183,70,"UK"
"115","I. Gündoğan",27,"Germany","Manchester City",84,84,3.2e+07,"Right",180,80,"UK"
"116","José Callejón",31,"Spain","Napoli",84,84,27500000,"Right",178,73,"Italy"
"117","A. Di María",30,"Argentina","Paris Saint-Germain",84,84,29500000,"Left",180,69,"France"
"118","M. Mandžukić",32,"Croatia","Juventus",84,84,2.5e+07,"Right",190,85,"Italy"
"119","Willian",29,"Brazil","Chelsea",84,84,30500000,"Right",175,78,"UK"
"120","Sergio Asenjo",29,"Spain","Villarreal CF",84,85,2.4e+07,"Right",188,87,"Spain"
"121","E. Banega",30,"Argentina","Sevilla FC",84,84,2.9e+07,"Right",175,71,"Spain"
"122","A. Witsel",29,"Belgium","Borussia Dortmund",84,84,2.4e+07,"Right",188,81,"Germany"
"123","D. Payet",31,"France","Olympique de Marseille",84,84,27500000,"Right",175,77,"France"
"124","Jonas",34,"Brazil","SL Benfica",84,84,16500000,"Right",180,74,"Portugal"
"125","Sokratis",30,"Greece","Arsenal",84,84,2.3e+07,"Right",185,85,"UK"
"126","Falcao",32,"Colombia","AS Monaco",84,84,2.5e+07,"Right",178,72,"France"
"127","K. Schmeichel",31,"Denmark","Leicester City",84,84,1.9e+07,"Right",188,89,"UK"
"128","Raúl Albiol",32,"Spain","Napoli",84,84,1.8e+07,"Right",190,82,"Italy"
"129","A. Gómez",30,"Argentina","Atalanta",84,84,3e+07,"Right",165,68,"Italy"
"130","A. Barzagli",37,"Italy","Juventus",84,84,4200000,"Right",188,87,"Italy"
"131","O. Dembélé",21,"France","FC Barcelona",83,92,4e+07,"Left",178,67,"Spain"
"132","Gabriel Jesus",21,"Brazil","Manchester City",83,92,4.1e+07,"Right",175,73,"UK"
"133","P. Kimpembe",22,"France","Paris Saint-Germain",83,89,30500000,"Left",188,80,"France"
"134","N. Keïta",23,"Guinea","Liverpool",83,88,3.4e+07,"Right",173,64,"UK"
"135","J. Tah",22,"Germany","Bayer 04 Leverkusen",83,88,29500000,"Right",196,97,"Germany"
"136","T. Werner",22,"Germany","RB Leipzig",83,87,34500000,"Right",180,75,"Germany"
"137","A. Rabiot",23,"France","Paris Saint-Germain",83,87,3.3e+07,"Left",193,80,"France"
"138","Q. Promes",26,"Netherlands","Sevilla FC",83,84,30500000,"Right",175,72,"Spain"
"139","H. Ziyech",25,"Morocco","Ajax",83,86,32500000,"Left",180,65,"Netherlands"
"140","Lucas Vázquez",27,"Spain","Real Madrid",83,83,2.7e+07,"Right",173,70,"Spain"
"141","Gerard Moreno",26,"Spain","Villarreal CF",83,85,3.2e+07,"Left",180,77,"Spain"
"142","Felipe",29,"Brazil","FC Porto",83,83,2e+07,"Right",190,86,"Portugal"
"143","M. Kovačić",24,"Croatia","Chelsea",83,89,3.5e+07,"Right",175,78,"UK"
"144","Kepa",23,"Spain","Chelsea",83,91,28500000,"Right",185,85,"UK"
"145","Manu Trigueros",26,"Spain","Villarreal CF",83,84,3e+07,"Right",178,75,"Spain"
"146","J. Pickford",24,"England","Everton",83,88,2.5e+07,"Left",185,77,"UK"
"147","J. Stones",24,"England","Manchester City",83,87,28500000,"Right",188,70,"UK"
"148","Suso",24,"Spain","Milan",83,86,3.3e+07,"Left",175,70,"Italy"
"149","J. Draxler",24,"Germany","Paris Saint-Germain",83,86,32500000,"Right",188,77,"France"
"150","Felipe Anderson",25,"Brazil","West Ham United",83,85,31500000,"Right",175,70,"UK"
"151","Lucas Moura",25,"Brazil","Tottenham Hotspur",83,84,3.1e+07,"Right",175,70,"UK"
"152","Danilo Pereira",26,"Portugal","FC Porto",83,86,2.7e+07,"Right",188,83,"Portugal"
"153","Nacho Fernández",28,"Spain","Real Madrid",83,85,24500000,"Right",180,76,"Spain"
"154","Allan",27,"Brazil","Napoli",83,83,26500000,"Right",175,74,"Italy"
"155","F. Acerbi",30,"Italy","Lazio",83,83,1.9e+07,"Left",193,88,"Italy"
"156","Sergi Roberto",26,"Spain","FC Barcelona",83,86,26500000,"Right",178,68,"Spain"
"157","Rodrigo",27,"Spain","Valencia CF",83,84,30500000,"Left",183,77,"Spain"
"158","Pizzi",28,"Portugal","SL Benfica",83,83,25500000,"Right",178,72,"Portugal"
"159","K. Kampl",27,"Slovenia","RB Leipzig",83,83,26500000,"Right",178,67,"Germany"
"160","Neto",28,"Brazil","Valencia CF",83,84,2.1e+07,"Right",190,84,"Spain"
"161","O. Baumann",28,"Germany","TSG 1899 Hoffenheim",83,84,2.1e+07,"Right",188,82,"Germany"
"162","I. Gueye",28,"Senegal","Everton",83,83,2.1e+07,"Right",175,66,"UK"
"163","H. Mkhitaryan",29,"Armenia","Arsenal",83,83,25500000,"Right",178,75,"UK"
"164","Marcos Alonso",27,"Spain","Chelsea",83,84,2.4e+07,"Left",188,87,"UK"
"165","D. Subašić",33,"Croatia","AS Monaco",83,83,1.3e+07,"Right",190,84,"France"
"166","K. Glik",30,"Poland","AS Monaco",83,83,1.9e+07,"Right",190,80,"France"
"167","K. Strootman",28,"Netherlands","Olympique de Marseille",83,83,2.1e+07,"Left",185,80,"France"
"168","B. Dost",29,"Netherlands","Sporting CP",83,83,2.6e+07,"Right",196,89,"Portugal"
"169","M. Balotelli",27,"Italy","OGC Nice",83,83,27500000,"Right",188,88,"France"
"170","Luiz Gustavo",30,"Brazil","Olympique de Marseille",83,83,1.9e+07,"Left",188,78,"France"
"171","David Luiz",31,"Brazil","Chelsea",83,83,17500000,"Right",188,86,"UK"
"172","R. Fährmann",29,"Germany","FC Schalke 04",83,84,2e+07,"Right",198,98,"Germany"
"173","Juan Mata",30,"Spain","Manchester United",83,83,24500000,"Left",170,63,"UK"
"174","Rui Patrício",30,"Portugal","Wolverhampton Wanderers",83,83,16500000,"Left",190,84,"UK"
"175","L. Bender",29,"Germany","Bayer 04 Leverkusen",83,83,2e+07,"Right",185,81,"Germany"
"176","Lucas Leiva",31,"Brazil","Lazio",83,83,17500000,"Right",178,78,"Italy"
"177","S. Mandanda",33,"France","Olympique de Marseille",83,83,1.3e+07,"Right",185,82,"France"
"178","Cesc Fàbregas",31,"Spain","Chelsea",83,83,2.2e+07,"Right",178,77,"UK"
"179","M. Dembélé",30,"Belgium","Tottenham Hotspur",83,83,2.4e+07,"Left",185,82,"UK"
"180","R. Jarstein",33,"Norway","Hertha BSC",83,83,1.3e+07,"Right",190,82,"Germany"
"181","D. De Rossi",34,"Italy","Roma",83,83,8e+06,"Right",183,83,"Italy"
"182","Pepe Reina",35,"Spain","Milan",83,83,6e+06,"Right",188,92,"Italy"
"183","J. Pavlenka",26,"Czech Republic","SV Werder Bremen",82,85,19500000,"Right",196,81,"Germany"
"184","M. de Ligt",18,"Netherlands","Ajax",82,91,2.7e+07,"Right",188,89,"Netherlands"
"185","Arthur",21,"Brazil","FC Barcelona",82,90,32500000,"Right",170,73,"Spain"
"186","G. Donnarumma",19,"Italy","Milan",82,93,2.9e+07,"Right",196,90,"Italy"
"187","Gonçalo Guedes",21,"Portugal","Valencia CF",82,86,2.9e+07,"Right",178,68,"Spain"
"188","L. Torreira",22,"Uruguay","Arsenal",82,87,2.5e+07,"Right",168,64,"UK"
"189","Malcom",21,"Brazil","FC Barcelona",82,89,31500000,"Left",173,74,"Spain"
"190","Pau López",23,"Spain","Real Betis",82,87,21500000,"Left",188,77,"Spain"
"191","C. Lenglet",23,"France","FC Barcelona",82,88,2.6e+07,"Left",185,81,"Spain"
"192","A. Kramarić",27,"Croatia","TSG 1899 Hoffenheim",82,83,2.6e+07,"Right",178,73,"Germany"
"193","A. Robertson",24,"Scotland","Liverpool",82,87,24500000,"Left",178,64,"UK"
"194","Dani García",28,"Spain","Athletic Club de Bilbao",82,83,2e+07,"Right",180,80,"Spain"
"195","F. Bernardeschi",24,"Italy","Juventus",82,87,29500000,"Left",185,77,"Italy"
"196","J. Brandt",22,"Germany","Bayer 04 Leverkusen",82,88,30500000,"Right",185,84,"Germany"
"197","D. Rugani",23,"Italy","Juventus",82,86,24500000,"Right",190,84,"Italy"
"198","Samu Castillejo",23,"Spain","Milan",82,86,2.9e+07,"Left",183,67,"Italy"
"199","João Cancelo",24,"Portugal","Juventus",82,88,25500000,"Right",183,74,"Italy"
"200","A. Romagnoli",23,"Italy","Milan",82,89,26500000,"Left",188,78,"Italy"
"201","Fred",25,"Brazil","Manchester United",82,84,26500000,"Left",170,64,"UK"
"202","J. Vardy",31,"England","Leicester City",82,82,2e+07,"Right",178,74,"UK"
"203","A. Belotti",24,"Italy","Torino",82,87,3e+07,"Right",180,72,"Italy"
"204","E. Forsberg",26,"Sweden","RB Leipzig",82,83,2.6e+07,"Right",178,74,"Germany"
"205","J. Lingard",25,"England","Manchester United",82,83,26500000,"Right",175,62,"UK"
"206","F. Vázquez",29,"Argentina","Sevilla FC",82,82,21500000,"Left",185,82,"Spain"
"207","A. Rüdiger",25,"Germany","Chelsea",82,84,22500000,"Right",190,85,"UK"
"208","A. Florenzi",27,"Italy","Roma",82,83,20500000,"Right",173,67,"Italy"
"209","H. Maguire",25,"England","Leicester City",82,85,23500000,"Right",193,100,"UK"
"210","T. Meunier",26,"Belgium","Paris Saint-Germain",82,83,2.1e+07,"Right",190,90,"France"
"211","S. Sané",27,"Senegal","FC Schalke 04",82,82,18500000,"Right",196,85,"Germany"
"212","G. Kondogbia",25,"Central African Rep.","Valencia CF",82,85,27500000,"Left",188,80,"Spain"
"213","Rafinha",25,"Brazil","FC Barcelona",82,87,29500000,"Left",175,71,"Spain"
"214","Gabriel Paulista",27,"Brazil","Valencia CF",82,83,2.1e+07,"Right",188,79,"Spain"
"215","Morata",25,"Spain","Chelsea",82,85,28500000,"Right",188,85,"UK"
"216","J. Cillessen",29,"Netherlands","FC Barcelona",82,84,1.8e+07,"Right",185,83,"Spain"
"217","W. Ben Yedder",27,"France","Sevilla FC",82,82,23500000,"Right",170,68,"Spain"
"218","Pablo Sarabia",26,"Spain","Sevilla FC",82,83,2.6e+07,"Left",175,70,"Spain"
"219","W. Zaha",25,"Ivory Coast","Crystal Palace",82,85,28500000,"Right",180,66,"UK"
"220","Luis Alberto",25,"Spain","Lazio",82,85,28500000,"Right",183,74,"Italy"
"221","Bartra",27,"Spain","Real Betis",82,83,2.1e+07,"Right",183,73,"Spain"
"222","S. Coates",27,"Uruguay","Sporting CP",82,83,2.1e+07,"Right",196,92,"Portugal"
"223","Willian José",26,"Brazil","Real Sociedad",82,83,26500000,"Right",188,93,"Spain"
"224","Víctor Ruiz",29,"Spain","Villarreal CF",82,83,19500000,"Left",185,78,"Spain"
"225","T. Delaney",26,"Denmark","Borussia Dortmund",82,83,21500000,"Left",183,79,"Germany"
"226","K. Casteels",26,"Belgium","VfL Wolfsburg",82,85,19500000,"Left",198,86,"Germany"
"227","M. Götze",26,"Germany","Borussia Dortmund",82,85,2.7e+07,"Right",175,75,"Germany"
"228","S. Mustafi",26,"Germany","Arsenal",82,84,22500000,"Right",183,82,"UK"
"229","J. Pastore",29,"Argentina","Roma",82,82,21500000,"Right",188,78,"Italy"
"230","Pedro",30,"Spain","Chelsea",82,82,2.1e+07,"Right",170,65,"UK"
"231","G. Bonaventura",28,"Italy","Milan",82,82,2.2e+07,"Right",180,75,"Italy"
"232","R. Bürki",27,"Switzerland","Borussia Dortmund",82,85,18500000,"Right",188,85,"Germany"
"233","S. Nzonzi",29,"France","Roma",82,82,1.7e+07,"Right",196,75,"Italy"
"234","A. Ramsey",27,"Wales","Arsenal",82,83,2.5e+07,"Right",183,76,"UK"
"235","K. Trippier",27,"England","Tottenham Hotspur",82,82,18500000,"Right",178,72,"UK"
"236","A. Kolarov",32,"Serbia","Roma",82,82,12500000,"Left",188,83,"Italy"
"237","G. Sigurðsson",28,"Iceland","Everton",82,82,22500000,"Right",185,82,"UK"
"238","M. Arnautović",29,"Austria","West Ham United",82,82,2.2e+07,"Right",193,83,"UK"
"239","J. Henderson",28,"England","Liverpool",82,82,1.8e+07,"Right",183,80,"UK"
"240","M. Kruse",30,"Germany","SV Werder Bremen",82,82,21500000,"Left",180,76,"Germany"
"241","M. Parolo",33,"Italy","Lazio",82,82,9e+06,"Right",183,75,"Italy"
"242","L. Fejsa",29,"Serbia","SL Benfica",82,82,1.7e+07,"Right",183,80,"Portugal"
"243","A. Rami",32,"France","Olympique de Marseille",82,82,12500000,"Right",190,90,"France"
"244","G. Wijnaldum",27,"Netherlands","Liverpool",82,82,2.3e+07,"Right",175,69,"UK"
"245","F. Fazio",31,"Argentina","Roma",82,82,1.5e+07,"Right",196,85,"Italy"
"246","O. Giroud",31,"France","Chelsea",82,82,2e+07,"Left",193,92,"UK"
"247","Marcano",31,"Spain","Roma",82,82,1.5e+07,"Left",188,77,"Italy"
"248","A. Guardado",31,"Mexico","Real Betis",82,82,1.9e+07,"Left",170,67,"Spain"
"249","E. Garay",31,"Argentina","Valencia CF",82,82,1.5e+07,"Right",188,90,"Spain"
"250","Jardel",32,"Brazil","SL Benfica",82,82,12500000,"Right",193,87,"Portugal"
"251","S. Sirigu",31,"Italy","Torino",82,82,13500000,"Right",193,80,"Italy"
"252","E. Viviano",32,"Italy","Sporting CP",82,82,12500000,"Left",196,90,"Portugal"
"253","L. Koscielny",32,"France","Arsenal",82,82,12500000,"Right",185,75,"UK"
"254","A. Consigli",31,"Italy","Sassuolo",82,82,13500000,"Right",188,82,"Italy"
"255","L. Biglia",32,"Argentina","Milan",82,82,12500000,"Right",178,63,"Italy"
"256","Dani Alves",35,"Brazil","Paris Saint-Germain",82,82,4800000,"Right",173,68,"France"
"257","Aduriz",37,"Spain","Athletic Club de Bilbao",82,82,8e+06,"Right",183,78,"Spain"
"258","P. Čech",36,"Czech Republic","Arsenal",82,82,3e+06,"Left",196,90,"UK"
"259","Casillas",37,"Spain","FC Porto",82,82,1500000,"Left",185,84,"Portugal"
"260","M. Rashford",20,"England","Manchester United",81,89,2.7e+07,"Right",185,70,"UK"
"261","L. Bailey",20,"Jamaica","Bayer 04 Leverkusen",81,89,26500000,"Left",178,79,"Germany"
"262","M. Akanji",22,"Switzerland","Borussia Dortmund",81,87,2.1e+07,"Right",188,85,"Germany"
"263","F. de Jong",21,"Netherlands","Ajax",81,89,2.6e+07,"Right",180,70,"Netherlands"
"264","Nélson Semedo",24,"Portugal","FC Barcelona",81,86,2e+07,"Right",178,67,"Spain"
"265","Pablo Fornals",22,"Spain","Villarreal CF",81,86,2.4e+07,"Right",178,67,"Spain"
"266","Fabián",22,"Spain","Napoli",81,89,2.6e+07,"Left",188,70,"Italy"
"267","E. Bailly",24,"Ivory Coast","Manchester United",81,87,2.1e+07,"Right",185,77,"UK"
"268","Dani Ceballos",21,"Spain","Real Madrid",81,88,2.5e+07,"Right",178,70,"Spain"
"269","H. Lozano",22,"Mexico","PSV",81,86,2.4e+07,"Right",175,70,"Netherlands"
"270","Morales",30,"Spain","Levante UD",81,81,1.7e+07,"Right",180,70,"Spain"
"271","J. Seri",26,"Ivory Coast","Fulham",81,82,20500000,"Right",170,73,"UK"
"272","M. Politano",24,"Italy","Inter",81,84,22500000,"Left",170,67,"Italy"
"273","M. Brozović",25,"Croatia","Inter",81,84,18500000,"Right",180,68,"Italy"
"274","Williams",24,"Spain","Athletic Club de Bilbao",81,87,24500000,"Right",185,79,"Spain"
"275","A. Christensen",22,"Denmark","Chelsea",81,88,21500000,"Right",188,81,"UK"
"276","João Mário",25,"Portugal","Inter",81,84,22500000,"Right",178,73,"Italy"
"277","T. Strakosha",23,"Albania","Lazio",81,86,1.7e+07,"Right",193,78,"Italy"
"278","E. Hysaj",24,"Albania","Napoli",81,86,2e+07,"Right",183,70,"Italy"
"279","P. Zieliński",24,"Poland","Napoli",81,88,24500000,"Right",180,75,"Italy"
"280","Ricardo Pereira",24,"Portugal","Leicester City",81,85,1.9e+07,"Right",175,70,"UK"
"281","Grimaldo",22,"Spain","SL Benfica",81,87,20500000,"Left",170,69,"Portugal"
"282","R. Guerreiro",24,"Portugal","Borussia Dortmund",81,86,2.4e+07,"Left",170,71,"Germany"
"283","A. Doucouré",25,"France","Watford",81,85,19500000,"Right",183,76,"UK"
"284","C. Bacca",31,"Colombia","Villarreal CF",81,81,1.6e+07,"Right",180,77,"Spain"
"285","B. Davies",25,"Wales","Tottenham Hotspur",81,84,18500000,"Left",183,76,"UK"
"286","M. Nastasić",25,"Serbia","FC Schalke 04",81,84,18500000,"Left",188,83,"Germany"
"287","A. Milik",24,"Poland","Napoli",81,88,25500000,"Left",185,78,"Italy"
"288","M. Sabitzer",24,"Austria","RB Leipzig",81,84,22500000,"Right",178,77,"Germany"
"289","B. Mendy",23,"France","Manchester City",81,86,2e+07,"Left",185,85,"UK"
"290","S. Vrsaljko",26,"Croatia","Inter",81,84,1.8e+07,"Right",180,76,"Italy"
